date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2024-12,-5.04,11.01,-7.60,-8.98,-8.31,1.44,-7.96,-7.78,-1.87,-5.38,-7.33,-6.72
2025-01,0.66,0.43,4.70,1.43,1.69,0.27,1.37,2.92,6.73,6.35,7.58,4.67
2025-02,5.53,-22.80,-3.01,2.97,1.08,-3.93,9.40,2.02,-3.74,3.50,-1.66,0.73
2025-03,0.41,-9.99,-5.06,3.85,-3.31,-9.14,-1.34,0.76,-7.36,-4.16,-4.82,-3.84
2025-04,-0.60,5.89,-1.43,-14.03,-3.91,1.15,-4.90,-1.32,0.95,-0.66,-3.37,0.65
2025-05,1.22,18.86,8.20,1.78,3.48,10.71,3.86,3.43,5.57,-3.96,4.30,4.27
2025-06,-0.75,-5.84,6.19,5.13,-2.62,9.08,3.63,1.01,2.41,2.01,5.51,2.65
2025-07,-1.88,-1.01,3.56,3.53,-2.41,5.63,-3.36,3.37,2.18,-1.27,-0.68,-1.68
2025-08,3.06,8.01,0.48,4.41,4.18,0.94,3.80,-1.59,0.82,4.74,4.18,4.31
2025-09,-3.06,25.01,4.87,-0.75,-3.99,7.08,-1.13,3.98,-1.15,2.03,1.17,-0.84
